TrialID,StimulusType,Condition,PrimeDuration,Prime,Flanker,corrAns,Transparency
362.0,FEM,CON,150.0,fuente,,a,Opaque
363.0,FEM,DIS,150.0,unidad,el,a,Opaque
364.0,MAS,AGR,150.0,viento,el,l,Transparent
365.0,MAS,CON,150.0,código,,l,Transparent
366.0,MAS,DIS,150.0,riesgo,la,l,Transparent
367.0,FEM,AGR,150.0,teoría,la,a,Transparent
368.0,FEM,CON,150.0,gracia,,a,Transparent
369.0,FEM,DIS,150.0,camisa,el,a,Transparent
370.0,MAS,AGR,150.0,seguro,el,l,Transparent
371.0,MAS,CON,150.0,sonido,,l,Transparent
372.0,MAS,DIS,150.0,delito,la,l,Transparent
373.0,FEM,AGR,150.0,lluvia,la,a,Transparent
374.0,FEM,CON,150.0,herida,,a,Transparent
375.0,FEM,DIS,150.0,cadena,el,a,Transparent
376.0,MAS,AGR,150.0,efecto,el,l,Transparent
377.0,MAS,CON,150.0,jardín,,l,Opaque
378.0,MAS,DIS,150.0,pastel,la,l,Opaque
379.0,FEM,AGR,150.0,granja,la,a,Transparent
380.0,FEM,CON,150.0,madera,,a,Transparent
381.0,FEM,DIS,150.0,bebida,el,a,Transparent
382.0,MAS,AGR,150.0,teatro,el,l,Transparent
383.0,MAS,CON,150.0,parque,,l,Opaque
384.0,MAS,DIS,150.0,pedazo,la,l,Transparent
385.0,FEM,AGR,150.0,muñeca,la,a,Transparent
386.0,FEM,CON,150.0,sombra,,a,Transparent
387.0,FEM,DIS,150.0,página,el,a,Transparent
388.0,MAS,AGR,150.0,empleo,el,l,Transparent
389.0,MAS,CON,150.0,tamaño,,l,Transparent
390.0,MAS,DIS,150.0,rostro,la,l,Transparent
391.0,FEM,AGR,150.0,altura,la,a,Transparent
392.0,FEM,CON,150.0,maleta,,a,Transparent
393.0,FEM,DIS,150.0,alarma,el,a,Transparent
394.0,MAS,AGR,150.0,examen,el,l,Opaque
395.0,MAS,CON,150.0,correo,,l,Transparent
396.0,MAS,DIS,150.0,tesoro,la,l,Transparent
397.0,FEM,AGR,150.0,cuerda,la,a,Transparent
398.0,FEM,CON,150.0,hierba,,a,Transparent
399.0,FEM,DIS,150.0,charla,el,a,Transparent
400.0,MAS,AGR,150.0,barrio,el,l,Transparent
401.0,MAS,CON,150.0,abrigo,,l,Transparent
402.0,MAS,DIS,150.0,ladrón,la,l,Opaque
403.0,FEM,AGR,150.0,paliza,la,a,Transparent
404.0,FEM,CON,150.0,gloria,,a,Transparent
405.0,FEM,DIS,150.0,parada,el,a,Transparent
406.0,MAS,AGR,150.0,premio,el,l,Transparent
407.0,MAS,CON,150.0,jurado,,l,Transparent
408.0,MAS,DIS,150.0,cheque,la,l,Opaque
409.0,FEM,AGR,150.0,moneda,la,a,Transparent
410.0,FEM,CON,150.0,piedad,,a,Opaque
411.0,FEM,DIS,150.0,actriz,el,a,Opaque
412.0,MAS,AGR,150.0,espejo,el,l,Transparent
413.0,MAS,CON,150.0,diario,,l,Transparent
414.0,MAS,DIS,150.0,sótano,la,l,Transparent
415.0,FEM,AGR,150.0,cabina,la,a,Transparent
416.0,FEM,CON,150.0,colina,,a,Transparent
417.0,FEM,DIS,150.0,cabaña,el,a,Transparent
418.0,MAS,AGR,150.0,pájaro,el,l,Transparent
419.0,MAS,CON,150.0,cuento,,l,Transparent
420.0,MAS,DIS,150.0,helado,la,l,Transparent
421.0,FEM,AGR,150.0,novela,la,a,Transparent
422.0,FEM,CON,150.0,rutina,,a,Transparent
423.0,FEM,DIS,150.0,poesía,el,a,Transparent
424.0,MAS,AGR,150.0,rastro,el,l,Transparent
425.0,MAS,CON,150.0,chiste,,l,Opaque
426.0,MAS,DIS,150.0,pánico,la,l,Transparent
427.0,FEM,AGR,150.0,agenda,la,a,Transparent
428.0,FEM,CON,150.0,jugada,,a,Transparent
429.0,FEM,DIS,150.0,fianza,el,a,Transparent
430.0,MAS,AGR,150.0,título,el,l,Transparent
431.0,MAS,CON,150.0,veneno,,l,Transparent
432.0,MAS,DIS,150.0,océano,la,l,Transparent
433.0,FEM,AGR,150.0,huella,la,a,Transparent
434.0,FEM,CON,150.0,corona,,a,Transparent
435.0,FEM,DIS,150.0,niebla,el,a,Transparent
436.0,MAS,AGR,150.0,objeto,el,l,Transparent
437.0,MAS,CON,150.0,hombro,,l,Transparent
438.0,MAS,DIS,150.0,tanque,la,l,Opaque
439.0,FEM,AGR,150.0,toalla,la,a,Transparent
440.0,FEM,CON,150.0,patada,,a,Transparent
441.0,FEM,DIS,150.0,medida,el,a,Transparent
442.0,MAS,AGR,150.0,cuadro,el,l,Transparent
443.0,MAS,CON,150.0,templo,,l,Transparent
444.0,MAS,DIS,150.0,límite,la,l,Opaque
445.0,FEM,AGR,150.0,bondad,la,a,Opaque
446.0,FEM,CON,150.0,bañera,,a,Transparent
447.0,FEM,DIS,150.0,lógica,el,a,Transparent
448.0,MAS,AGR,150.0,aceite,el,l,Opaque
449.0,MAS,CON,150.0,payaso,,l,Transparent
450.0,MAS,DIS,150.0,conejo,la,l,Transparent
